"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1972/1973","Prince Edward Island","2016A000211","Emigrants","Persons","249","units ","0","v29768534","3.9","103","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Returning emigrants","Persons","249","units ","0","v29768535","3.10","60","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Net interprovincial migration","Persons","249","units ","0","v391135","3.5","782","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Net non-permanent residents","Persons","249","units ","0","v29768537","3.12","6","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Residual deviation","Persons","249","units ","0","v53437074","3.8","640","","","","0"
"1972/1973","Nova Scotia","2016A000212","Births","Persons","249","units ","0","v391077","4.1","13414","","","","0"
"1972/1973","Nova Scotia","2016A000212","Deaths","Persons","249","units ","0","v391092","4.2","6897","","","","0"
"1972/1973","Nova Scotia","2016A000212","Immigrants","Persons","249","units ","0","v391107","4.3","1923","","","","0"
"1972/1973","Nova Scotia","2016A000212","Emigrants","Persons","249","units ","0","v29768538","4.9","597","","","","0"
"1972/1973","Nova Scotia","2016A000212","Returning emigrants","Persons","249","units ","0","v29768539","4.10","344","","","","0"
"1972/1973","Nova Scotia","2016A000212","Net interprovincial migration","Persons","249","units ","0","v391136","4.5","4851","","","","0"
"1972/1973","Nova Scotia","2016A000212","Net non-permanent residents","Persons","249","units ","0","v29768541","4.12","131","","","","0"
"1972/1973","Nova Scotia","2016A000212","Residual deviation","Persons","249","units ","0","v53437075","4.8","3038","","","","0"
"1972/1973","New Brunswick","2016A000213","Births","Persons","249","units ","0","v391078","5.1","11625","","","","0"
"1972/1973","New Brunswick","2016A000213","Deaths","Persons","249","units ","0","v391093","5.2","5023","","","","0"
"1972/1973","New Brunswick","2016A000213","Immigrants","Persons","249","units ","0","v391108","5.3","1428","","","","0"
"1972/1973","New Brunswick","2016A000213","Emigrants","Persons","249","units ","0","v29768542","5.9","1081","","","","0"
