"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1974-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","12.00","","","","2"
"1974-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.88","","","","2"
"1975-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.81","","","","2"
"1975-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.95","","","","2"
"1975-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.65","","","","2"
"1975-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.67","","","","2"
"1975-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.99","","","","2"
"1975-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.23","","","","2"
"1975-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.35","","","","2"
"1975-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.52","","","","2"
"1975-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.94","","","","2"
"1975-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","12.15","","","","2"
"1975-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.97","","","","2"
"1975-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.89","","","","2"
"1976-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.84","","","","2"
"1976-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.80","","","","2"
"1976-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.90","","","","2"
"1976-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","12.03","","","","2"
"1976-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.99","","","","2"
"1976-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.93","","","","2"
"1976-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.86","","","","2"
"1976-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.83","","","","2"
"1976-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.76","","","","2"
